,0
lag_7,3273.184020354673
high,3207.8100793875583
low,3207.810079387521
price,3207.8100793871427
lag_1,2867.5857123217447
ma_7,1100.2875306240458
pct_change_7d,1090.0167433919346
lag_5,-1050.5545983569168
lag_2,-748.3869421072153
ma_30,458.87873144632175
volume,397.75577175827164
momentum_7,-282.2940470322402
volatility_7,-269.3025183185333
lag_3,162.20938512239198
pct_change_1d,133.81321988654437
daily_return,133.81321988646036
momentum_30,126.46072521710293
volatility_30,94.82299202717365
hl_pct,0.0
